Fecha y Hora,Voltaje(V),Temperatura(C),Humedad(%), Sonido
2025-04-30 12:36:55, 3.30,27,57, 3600
2025-04-30 12:36:55, 3.30,27,57, 3616
2025-04-30 12:36:56, 3.30,27,57, 3600
2025-04-30 12:36:57, 3.30,27,56, 3520
2025-04-30 12:36:58, 3.30,28,55, 3584
2025-04-30 12:36:59, 3.30,28,55, 3600
2025-04-30 12:37:00, 3.30,28,55, 3600
2025-04-30 12:37:00, 3.30,28,55, 3568
2025-04-30 12:37:01, 3.30,28,55, 3568
2025-04-30 12:37:02, 3.30,28,55, 3616
2025-04-30 12:37:03, 3.30,28,55, 3616
2025-04-30 12:37:04, 3.30,28,55, 3600
2025-04-30 12:37:05, 3.30,28,56, 45995
2025-04-30 12:37:05, 3.30,28,56, 8930
2025-04-30 12:37:06, 3.30,28,56, 3568
2025-04-30 12:37:07, 3.30,28,56, 3616
2025-04-30 12:37:08, 3.30,28,56, 3600
2025-04-30 12:37:09, 3.30,28,56, 3600
2025-04-30 12:37:10, 3.30,28,56, 3632
2025-04-30 12:37:10, 3.30,28,55, 3536
2025-04-30 12:37:11, 3.30,28,55, 3600
2025-04-30 12:37:12, 3.30,28,55, 3536
2025-04-30 12:37:13, 3.30,28,54, 3600
2025-04-30 12:37:14, 3.30,28,54, 3616
2025-04-30 12:37:15, 3.30,28,54, 3632
2025-04-30 12:37:16, 3.30,28,54, 3600
2025-04-30 12:37:16, 3.30,28,54, 3600
2025-04-30 12:37:17, 3.30,28,54, 3616
2025-04-30 12:37:18, 1.60,28,54, 3616
2025-04-30 12:37:19, 1.36,28,54, 3600
2025-04-30 12:37:20, 0.41,28,54, 3616
2025-04-30 12:37:20, 0.02,28,54, 3616
2025-04-30 12:37:21, 0.02,28,54, 3648
